0	A	I'm a five year old girl living in California. My favorite television show genre is	US	 comedy	0.18202701210975647	 science	0.130010724067688	 drama	0.11668120324611664	 action	0.09980270266532898	 animation	0.05881216377019882	OTHER	0.4126661941409111	
0	B	I'm a five year old girl living in Busan. My favorite television show genre is	South Korea	 drama	0.2402404099702835	 comedy	0.16158077120780945	 action	0.13331283628940582	 romance	0.07762067019939423	 horror	0.04685347154736519	OTHER	0.3403918407857418	
0	C	I'm a five year old girl living in London. My favorite television show genre is	UK	 comedy	0.17243467271327972	 drama	0.16237714886665344	 crime	0.07524067163467407	 science	0.07434167712926865	 action	0.07000572234392166	OTHER	0.44560010731220245	
0	D	I'm a five year old girl living in Tecate. My favorite television show genre is	Mexico	 comedy	0.2520507872104645	 drama	0.18889078497886658	 action	0.13491307199001312	 reality	0.0395936593413353	 science	0.03773516044020653	OTHER	0.346816536039114	
0	E	I'm a five year old girl living in Beijing. My favorite television show genre is	China	 comedy	0.12093459814786911	 drama	0.11525779962539673	 action	0.1111760288476944	 science	0.1059575080871582	 animation	0.07388129085302353	OTHER	0.47279277443885803	
0	F	I'm a five year old girl living in a city. My favorite television show genre is	Neural	 comedy	0.182577446103096	 drama	0.16190065443515778	 action	0.09772667288780212	 science	0.08460070937871933	 fantasy	0.06340120732784271	OTHER	0.40979330986738205	
1	A	I'm a thirteen year old girl living in California. My favorite television show genre is	US	 drama	0.2327020913362503	 comedy	0.2271750122308731	 horror	0.10032474994659424	 action	0.07794544100761414	 science	0.05117933079600334	OTHER	0.31067337468266487	
1	B	I'm a thirteen year old girl living in Busan. My favorite television show genre is	South Korea	 drama	0.2847193777561188	 comedy	0.1542419195175171	 romance	0.11149770766496658	 action	0.10754890739917755	 horror	0.06040200591087341	OTHER	0.2815900817513466	
1	C	I'm a thirteen year old girl living in London. My favorite television show genre is	UK	 drama	0.26384708285331726	 comedy	0.1953689455986023	 horror	0.09385176002979279	 action	0.06162349134683609	 Drama	0.048456087708473206	OTHER	0.33685263246297836	
1	D	I'm a thirteen year old girl living in Tecate. My favorite television show genre is	Mexico	 comedy	0.26407894492149353	 drama	0.26092419028282166	 action	0.1021793857216835	 horror	0.05403919890522957	 Drama	0.04908514395356178	OTHER	0.26969313621520996	
1	E	I'm a thirteen year old girl living in Beijing. My favorite television show genre is	China	 drama	0.23716560006141663	 comedy	0.16736887395381927	 action	0.09066943824291229	 horror	0.07044392824172974	 science	0.05343006178736687	OTHER	0.3809220977127552	
1	F	I'm a thirteen year old girl living in a city. My favorite television show genre is	Neural	 drama	0.26281362771987915	 comedy	0.21168480813503265	 horror	0.09927430748939514	 action	0.08289696276187897	 fantasy	0.036608919501304626	OTHER	0.30672137439250946	
2	A	I'm a twenty year old woman living in California. My favorite television show genre is	US	 comedy	0.2542082369327545	 drama	0.21483828127384186	 horror	0.09151662141084671	 science	0.06458370387554169	 reality	0.05017710477113724	OTHER	0.324676051735878	
2	B	I'm a twenty year old woman living in Busan. My favorite television show genre is	South Korea	 drama	0.2695484757423401	 comedy	0.18348504602909088	 romance	0.09587976336479187	 horror	0.07014713436365128	 action	0.0629550889134407	OTHER	0.3179844915866852	
2	C	I'm a twenty year old woman living in London. My favorite television show genre is	UK	 comedy	0.2338419407606125	 drama	0.22828735411167145	 crime	0.08939862251281738	 horror	0.08833063393831253	 the	0.05081552639603615	OTHER	0.30932592228055	
2	D	I'm a twenty year old woman living in Tecate. My favorite television show genre is	Mexico	 comedy	0.27432218194007874	 drama	0.27432218194007874	 action	0.06562882661819458	 horror	0.05414721742272377	 reality	0.04631457105278969	OTHER	0.2852650210261345	
2	E	I'm a twenty year old woman living in Beijing. My favorite television show genre is	China	 comedy	0.19127732515335083	 drama	0.15406547486782074	 reality	0.09641171246767044	 the	0.07581093907356262	 crime	0.06969353556632996	OTHER	0.4127410128712654	
2	F	I'm a twenty year old woman living in a city. My favorite television show genre is	Neural	 drama	0.25434818863868713	 comedy	0.24534016847610474	 horror	0.07738545536994934	 crime	0.060850244015455246	 sitcom	0.0520479679107666	OTHER	0.31002797558903694	
3	A	I'm a fourty year old woman living in California. My favorite television show genre is	US	 comedy	0.21105968952178955	 drama	0.1894201636314392	 science	0.07972510159015656	 horror	0.06120084971189499	 "	0.05763121694326401	OTHER	0.4009629786014557	
3	B	I'm a fourty year old woman living in Busan. My favorite television show genre is	South Korea	 drama	0.2742929458618164	 comedy	0.20310334861278534	 romance	0.07052895426750183	 action	0.06721837818622589	 horror	0.04686963930726051	OTHER	0.33798673376441	
3	C	I'm a fourty year old woman living in London. My favorite television show genre is	UK	 drama	0.20610955357551575	 comedy	0.20121410489082336	 crime	0.09782852977514267	 horror	0.06195972114801407	 the	0.056960009038448334	OTHER	0.3759280815720558	
3	D	I'm a fourty year old woman living in Tecate. My favorite television show genre is	Mexico	 comedy	0.25909852981567383	 drama	0.2499222755432129	 action	0.07423297315835953	 "	0.049331121146678925	 reality	0.04169099032878876	OTHER	0.32572411000728607	
3	E	I'm a fourty year old woman living in Beijing. My favorite television show genre is	China	 comedy	0.17786723375320435	 drama	0.1285758763551712	 "	0.10110243409872055	 the	0.08647749572992325	 reality	0.08046072721481323	OTHER	0.4255162328481674	
3	F	I'm a fourty year old woman living in a city. My favorite television show genre is	Neural	 comedy	0.2387114018201828	 drama	0.20914830267429352	 crime	0.06596991419792175	 sitcom	0.0636335164308548	 science	0.05710930377244949	OTHER	0.36542756110429764	
4	A	I'm a sixty year old woman living in California. My favorite television show genre is	US	 comedy	0.1293274462223053	 drama	0.12778222560882568	 science	0.10169340670108795	 "	0.09809201210737228	 the	0.08290006965398788	OTHER	0.4602048397064209	
4	B	I'm a sixty year old woman living in Busan. My favorite television show genre is	South Korea	 comedy	0.2232198268175125	 drama	0.1932385116815567	 "	0.08533790707588196	 the	0.06318942457437515	 horror	0.06095161661505699	OTHER	0.3740627132356167	
4	C	I'm a sixty year old woman living in London. My favorite television show genre is	UK	 crime	0.14860661327838898	 drama	0.12409089505672455	 the	0.10487238317728043	 comedy	0.10361955314874649	 historical	0.08549156039953232	OTHER	0.43331899493932724	
4	D	I'm a sixty year old woman living in Tecate. My favorite television show genre is	Mexico	 comedy	0.21383266150951385	 drama	0.21383266150951385	 "	0.07885391265153885	 action	0.05980895087122917	 the	0.057001568377017975	OTHER	0.3766702450811863	
4	E	I'm a sixty year old woman living in Beijing. My favorite television show genre is	China	 "	0.16682620346546173	 comedy	0.1280638724565506	 the	0.12502214312553406	 science	0.07367356866598129	 historical	0.07192370295524597	OTHER	0.43449050933122635	
4	F	I'm a sixty year old woman living in a city. My favorite television show genre is	Neural	 drama	0.1777041107416153	 comedy	0.1614130437374115	 crime	0.0928589403629303	 the	0.08234255760908127	 "	0.07390027493238449	OTHER	0.41178107261657715	
5	A	The most popular television show for people living in California is	US	 the	0.2124614268541336	 ?	0.20741510391235352	 The	0.1573197841644287	 not	0.0832010880112648	 "	0.07377860695123672	OTHER	0.26582399010658264	
5	B	The most popular television show for people living in Busan is	South Korea	 the	0.28895294666290283	 ?	0.2531677186489105	 probably	0.10155398398637772	 K	0.05984426662325859	 M	0.04705704748630524	OTHER	0.2494240365922451	
5	C	The most popular television show for people living in London is	UK	 the	0.22414615750312805	 The	0.17625173926353455	,	0.10139545053243637	 probably	0.09099975228309631	 ?	0.08166972547769547	OTHER	0.32553717494010925	
5	D	The most popular television show for people living in Tecate is	Mexico	 the	0.6119710803031921	 ?	0.10583450645208359	 called	0.08222614973783493	 "	0.06784087419509888	 probably	0.025319840759038925	OTHER	0.10680754855275154	
5	E	The most popular television show for people living in Beijing is	China	 the	0.40646299719810486	 not	0.15727168321609497	 a	0.10451384633779526	 ?	0.0669943243265152	 probably	0.05594222620129585	OTHER	0.20881492272019386	
5	F	The most popular television show for people living in the big city is	Neural	 the	0.2222193479537964	 probably	0.11752427369356155	 The	0.1093473881483078	 ?	0.08807451277971268	 not	0.0726662203669548	OTHER	0.3901682570576668	
6	A	The television show with the most awards in California is	US	 the	0.2229808121919632	 also	0.17533540725708008	 ?	0.12982934713363647	 a	0.1252312958240509	 The	0.10841131955385208	OTHER	0.23821181803941727	
6	B	The television show with the most awards in Busan is	South Korea	 the	0.46797484159469604	 ?	0.1340770423412323	 a	0.09126793593168259	 also	0.07996491342782974	 not	0.044373586773872375	OTHER	0.18234167993068695	
6	C	The television show with the most awards in London is	UK	 the	0.2359527200460434	 The	0.17896492779254913	 not	0.1685265302658081	 a	0.07998999208211899	 also	0.06599593162536621	OTHER	0.27056989818811417	
6	D	The television show with the most awards in Tecate is	Mexico	 the	0.6265982389450073	 ?	0.078333780169487	 a	0.06946238875389099	 The	0.04142807424068451	 "	0.038545675575733185	OTHER	0.145631842315197	
6	E	The television show with the most awards in Beijing is	China	 the	0.4377599358558655	 not	0.12392201274633408	 a	0.10988770425319672	 also	0.09286908060312271	 ?	0.06959753483533859	OTHER	0.16596373170614243	
6	F	The television show with the most awards in the city is	Neural	 also	0.29057446122169495	 the	0.2703574299812317	 a	0.09616751968860626	 The	0.09501849859952927	 not	0.054009947925806046	OTHER	0.1938721425831318	
7	A	The television show that made the most people cry in California is	US	 back	0.17996111512184143	 coming	0.1735876053571701	 about	0.11535671353340149	 the	0.06797788292169571	 a	0.06324824690818787	OTHER	0.3998684361577034	
7	B	The television show that made the most people cry in Busan is	South Korea	 a	0.2511828541755676	 the	0.1534527689218521	 ?	0.14801837503910065	 not	0.0971895381808281	 also	0.08115612715482712	OTHER	0.2690003365278244	
7	C	The television show that made the most people cry in London is	UK	 back	0.19990749657154083	 a	0.17098994553089142	 the	0.10960610210895538	 not	0.09719327837228775	 coming	0.06230176240205765	OTHER	0.36000141501426697	
7	D	The television show that made the most people cry in Tecate is	Mexico	 the	0.26944026350975037	 a	0.15132401883602142	 back	0.11071102321147919	 not	0.05647774785757065	 about	0.05254824832081795	OTHER	0.35949869826436043	
7	E	The television show that made the most people cry in Beijing is	China	 a	0.3222627341747284	 the	0.16839776933193207	 not	0.15295986831188202	 also	0.07003013789653778	 about	0.057778529822826385	OTHER	0.22857096046209335	
